Организация;;;;;;Начальный остаток;Приход;Расход;Конечный остаток
Склад;;;;;;Количество;Количество;Количество;Количество
Источник финансирования;;;;;;;;;
Номенклатура;;;;;Ед. изм.;;;;
Серия номенклатуры, Партия;;;;;;;;;
Регистратор;;;;;;;;;
Отпуск в отделение 0000-000472 от 25.11.2024 9:48:13;;;;;;14 400,000;;300,000;14 100,000
Отпуск в отделение 0000-000481 от 28.11.2024 14:14:02;;;;;;14 100,000;;200,000;13 900,000
Отпуск в отделение 0000-000485 от 02.12.2024 10:16:42;;;;;;13 900,000;;200,000;13 700,000
Отпуск в отделение 0000-000488 от 03.12.2024 15:24:43;;;;;;13 700,000;;100,000;13 600,000
Отпуск в отделение 0000-000497 от 06.12.2024 14:02:09;;;;;;13 600,000;;200,000;13 400,000
Отпуск в отделение 0000-000501 от 09.12.2024 13:15:38;;;;;;13 400,000;;200,000;13 200,000
Отпуск в отделение 0000-000504 от 10.12.2024 14:11:47;;;;;;13 200,000;;200,000;13 000,000
Отпуск в отделение 0000-000512 от 17.12.2024 15:51:56;;;;;;13 000,000;;200,000;12 800,000
Отпуск в отделение 0000-000514 от 18.12.2024 9:55:17;;;;;;12 800,000;;300,000;12 500,000
Отпуск в отделение 0000-000515 от 20.12.2024 11:21:08;;;;;;12 500,000;;200,000;12 300,000
Отпуск в отделение 0000-000524 от 25.12.2024 11:16:41;;;;;;12 300,000;;200,000;12 100,000
Отпуск в отделение 0000-000525 от 25.12.2024 16:33:37;;;;;;12 100,000;;100,000;12 000,000
Отпуск в отделение 0000-000526 от 25.12.2024 16:38:01;;;;;;12 000,000;;400,000;11 600,000
Отпуск в отделение 0000-000528 от 26.12.2024 16:32:39;;;;;;11 600,000;;100,000;11 500,000
Катетер в/в с доп.портом;;;;;шт;2 400,000;16 500,000;8 300,000;10 600,000
<серии не учитываются>, <партии не учитываются>;;;;;;2 400,000;16 500,000;8 300,000;10 600,000
Отпуск в отделение 0000-000018 от 16.01.2024 16:04:21;;;;;;2 400,000;;100,000;2 300,000
Отпуск в отделение 0000-000041 от 05.02.2024 13:36:06;;;;;;2 300,000;;200,000;2 100,000
Отпуск в отделение 0000-000054 от 12.02.2024 16:36:56;;;;;;2 100,000;;100,000;2 000,000
Отпуск в отделение 0000-000056 от 16.02.2024 10:25:29;;;;;;2 000,000;;20,000;1 980,000
Отпуск в отделение 0000-000087 от 06.03.2024 11:21:47;;;;;;1 980,000;;100,000;1 880,000
Отпуск в отделение 0000-000088 от 06.03.2024 11:24:26;;;;;;1 880,000;;100,000;1 780,000
Отпуск в отделение 0000-000091 от 11.03.2024 10:47:12;;;;;;1 780,000;;200,000;1 580,000
Отпуск в отделение 0000-000096 от 13.03.2024 9:46:08;;;;;;1 580,000;;20,000;1 560,000
Отпуск в отделение 0000-000105 от 18.03.2024 11:18:10;;;;;;1 560,000;;100,000;1 460,000
Отпуск в отделение 0000-000109 от 22.03.2024 10:41:58;;;;;;1 460,000;;200,000;1 260,000
Отпуск в отделение 0000-000113 от 22.03.2024 13:53:49;;;;;;1 260,000;;100,000;1 160,000
Отпуск в отделение 0000-000132 от 03.04.2024 11:32:30;;;;;;1 160,000;;200,000;960,000
Отпуск в отделение 0000-000156 от 15.04.2024 10:34:48;;;;;;960,000;;100,000;860,000
Поступление товаров 0000-000025 от 17.04.2024 8:52:48;;;;;;860,000;16 500,000;;17 360,000
Отпуск в отделение 0000-000160 от 17.04.2024 10:08:58;;;;;;17 360,000;;200,000;17 160,000
Отпуск в отделение 0000-000185 от 06.05.2024 11:28:59;;;;;;17 160,000;;100,000;17 060,000
Отпуск в отделение 0000-000186 от 06.05.2024 11:37:37;;;;;;17 060,000;;500,000;16 560,000
Отпуск в отделение 0000-000195 от 15.05.2024 11:39:36;;;;;;16 560,000;;300,000;16 260,000
Отпуск в отделение 0000-000208 от 20.05.2024 15:32:03;;;;;;16 260,000;;200,000;16 060,000
Отпуск в отделение 0000-000226 от 29.05.2024 16:25:47;;;;;;16 060,000;;100,000;15 960,000
Отпуск в отделение 0000-000232 от 03.06.2024 16:00:39;;;;;;15 960,000;;100,000;15 860,000
Отпуск в отделение 0000-000234 от 04.06.2024 14:48:25;;;;;;15 860,000;;200,000;15 660,000
Отпуск в отделение 0000-000239 от 10.06.2024 10:41:53;;;;;;15 660,000;;200,000;15 460,000
Отпуск в отделение 0000-000246 от 18.06.2024 13:11:46;;;;;;15 460,000;;200,000;15 260,000
Отпуск в отделение 0000-000286 от 15.07.2024 9:56:30;;;;;;15 260,000;;100,000;15 160,000
Отпуск в отделение 0000-000287 от 15.07.2024 10:08:21;;;;;;15 160,000;;200,000;14 960,000
Отпуск в отделение 0000-000295 от 17.07.2024 11:39:22;;;;;;14 960,000;;100,000;14 860,000
Отпуск в отделение 0000-000297 от 17.07.2024 15:45:02;;;;;;14 860,000;;200,000;14 660,000
Отпуск в отделение 0000-000322 от 07.08.2024 13:24:49;;;;;;14 660,000;;100,000;14 560,000
Отпуск в отделение 0000-000337 от 14.08.2024 10:35:45;;;;;;14 560,000;;200,000;14 360,000
Отпуск в отделение 0000-000347 от 22.08.2024 11:55:08;;;;;;14 360,000;;200,000;14 160,000
Отпуск в отделение 0000-000366 от 05.09.2024 15:31:33;;;;;;14 160,000;;100,000;14 060,000
Отпуск в отделение 0000-000374 от 11.09.2024 11:18:03;;;;;;14 060,000;;200,000;13 860,000
Отпуск в отделение 0000-000381 от 19.09.2024 8:02:17;;;;;;13 860,000;;100,000;13 760,000
Отпуск в отделение 0000-000399 от 04.10.2024 10:29:22;;;;;;13 760,000;;100,000;13 660,000
Отпуск в отделение 0000-000401 от 08.10.2024 9:27:41;;;;;;13 660,000;;200,000;13 460,000
Отпуск в отделение 0000-000406 от 09.10.2024 10:42:08;;;;;;13 460,000;;100,000;13 360,000
Отпуск в отделение 0000-000416 от 18.10.2024 11:09:16;;;;;;13 360,000;;200,000;13 160,000
Отпуск в отделение 0000-000419 от 21.10.2024 10:25:34;;;;;;13 160,000;;100,000;13 060,000
Отпуск в отделение 0000-000421 от 21.10.2024 11:40:13;;;;;;13 060,000;;160,000;12 900,000
Отпуск в отделение 0000-000425 от 23.10.2024 10:44:27;;;;;;12 900,000;;400,000;12 500,000
Отпуск в отделение 0000-000442 от 05.11.2024 11:29:30;;;;;;12 500,000;;200,000;12 300,000
Отпуск в отделение 0000-000446 от 06.11.2024 11:30:40;;;;;;12 300,000;;100,000;12 200,000
Отпуск в отделение 0000-000458 от 15.11.2024 10:55:52;;;;;;12 200,000;;100,000;12 100,000
Отпуск в отделение 0000-000481 от 28.11.2024 14:14:02;;;;;;12 100,000;;200,000;11 900,000
Отпуск в отделение 0000-000493 от 05.12.2024 9:10:31;;;;;;11 900,000;;200,000;11 700,000
Отпуск в отделение 0000-000509 от 16.12.2024 9:44:18;;;;;;11 700,000;;100,000;11 600,000
Отпуск в отделение 0000-000514 от 18.12.2024 9:55:17;;;;;;11 600,000;;300,000;11 300,000
Отпуск в отделение 0000-000524 от 25.12.2024 11:16:41;;;;;;11 300,000;;300,000;11 000,000
Отпуск в отделение 0000-000525 от 25.12.2024 16:33:37;;;;;;11 000,000;;300,000;10 700,000
Отпуск в отделение 0000-000526 от 25.12.2024 16:38:01;;;;;;10 700,000;;100,000;10 600,000
Катетер урологический Нелатона;;;;;шт;154,000;;154,000;
<серии не учитываются>, <партии не учитываются>;;;;;;154,000;;154,000;
Отпуск в отделение 0000-000041 от 05.02.2024 13:36:06;;;;;;154,000;;20,000;134,000
Отпуск в отделение 0000-000074 от 27.02.2024 15:25:48;;;;;;134,000;;10,000;124,000
Отпуск в отделение 0000-000105 от 18.03.2024 11:18:10;;;;;;124,000;;20,000;104,000
Отпуск в отделение 0000-000132 от 03.04.2024 11:32:30;;;;;;104,000;;20,000;84,000
Отпуск в отделение 0000-000160 от 17.04.2024 10:08:58;;;;;;84,000;;20,000;64,000
Отпуск в отделение 0000-000164 от 22.04.2024 10:44:01;;;;;;64,000;;10,000;54,000
Отпуск в отделение 0000-000239 от 10.06.2024 10:41:53;;;;;;54,000;;20,000;34,000
Отпуск в отделение 0000-000277 от 05.07.2024 13:30:21;;;;;;34,000;;25,000;9,000
Отпуск в отделение 0000-000387 от 23.09.2024 10:58:19;;;;;;9,000;;9,000;
Кетопрофен, р-р для в/в и в/м введ. 50 мг/мл, амп. 2 мл, пач. картон. 10  10.2024;;;;;амп. 2 мл;;20,000;20,000;
060524 до 31.05.28, <партии не учитываются>;;;;;;;20,000;20,000;
Поступление товаров 0000-000086 от 15.10.2024 10:47:52;;;;;;;20,000;;20,000
Отпуск в отделение 0000-000431 от 28.10.2024 9:36:38;;;;;;20,000;;20,000;
КЕТОРОЛАК ВЕЛФАРМ, р-р для в/в и в/м введ. 30 мг/мл, амп. 1 мл, 10 12.23;;;;;амп. 1 мл;15160,00;;15 160,000;
240623 до 01.06.26, <партии не учитываются>;;;;;;15 160,000;;15 160,000;
Отпуск в отделение 0000-000010 от 12.01.2024 13:33:24;;;;;;15 160,000;;40,000;15 120,000
Отпуск в отделение 0000-000014 от 16.01.2024 14:13:09;;;;;;15 120,000;;500,000;14 620,000
Отпуск в отделение 0000-000015 от 16.01.2024 14:31:19;;;;;;14 620,000;;300,000;14 320,000
Отпуск в отделение 0000-000022 от 22.01.2024 8:59:29;;;;;;14 320,000;;200,000;14 120,000
Отпуск в отделение 0000-000025 от 22.01.2024 10:27:48;;;;;;14 120,000;;150,000;13 970,000
Отпуск в отделение 0000-000028 от 26.01.2024 9:59:46;;;;;;13 970,000;;200,000;13 770,000
Отпуск в отделение 0000-000037 от 02.02.2024 11:11:51;;;;;;13 770,000;;100,000;13 670,000
Отпуск в отделение 0000-000040 от 05.02.2024 10:54:32;;;;;;13 670,000;;500,000;13 170,000
Отпуск в отделение 0000-000043 от 07.02.2024 10:00:03;;;;;;13 170,000;;150,000;13 020,000
Отпуск в отделение 0000-000044 от 07.02.2024 10:46:01;;;;;;13 020,000;;350,000;12 670,000
Отпуск в отделение 0000-000047 от 07.02.2024 13:06:21;;;;;;12 670,000;;100,000;12 570,000
Отпуск в отделение 0000-000050 от 09.02.2024 10:15:35;;;;;;12 570,000;;200,000;12 370,000
Отпуск в отделение 0000-000058 от 16.02.2024 10:39:07;;;;;;12 370,000;;100,000;12 270,000
Отпуск в отделение 0000-000060 от 19.02.2024 11:14:10;;;;;;12 270,000;;500,000;11 770,000
Отпуск в отделение 0000-000062 от 20.02.2024 14:30:18;;;;;;11 770,000;;250,000;11 520,000
Отпуск в отделение 0000-000066 от 21.02.2024 10:30:11;;;;;;11 520,000;;300,000;11 220,000
Отпуск в отделение 0000-000073 от 26.02.2024 10:35:14;;;;;;11 220,000;;150,000;11 070,000
Отпуск в отделение 0000-000076 от 01.03.2024 10:38:57;;;;;;11 070,000;;200,000;10 870,000
Отпуск в отделение 0000-000078 от 04.03.2024 9:12:23;;;;;;10 870,000;;350,000;10 520,000
Отпуск в отделение 0000-000085 от 06.03.2024 10:08:58;;;;;;10 520,000;;300,000;10 220,000
Отпуск в отделение 0000-000089 от 11.03.2024 10:19:11;;;;;;10 220,000;;150,000;10 070,000
Отпуск в отделение 0000-000092 от 11.03.2024 10:50:43;;;;;;10 070,000;;200,000;9 870,000
Отпуск в отделение 0000-000103 от 15.03.2024 13:03:19;;;;;;9 870,000;;100,000;9 770,000
Отпуск в отделение 0000-000104 от 18.03.2024 8:53:59;;;;;;9 770,000;;300,000;9 470,000
Отпуск в отделение 0000-000107 от 20.03.2024 10:25:12;;;;;;9 470,000;;200,000;9 270,000
Отпуск в отделение 0000-000108 от 21.03.2024 8:15:48;;;;;;9 270,000;;200,000;9 070,000
Отпуск в отделение 0000-000116 от 25.03.2024 11:39:14;;;;;;9 070,000;;200,000;8 870,000
Отпуск в отделение 0000-000119 от 27.03.2024 10:43:22;;;;;;8 870,000;;200,000;8 670,000
Отпуск в отделение 0000-000121 от 01.04.2024 10:10:51;;;;;;8 670,000;;350,000;8 320,000
Отпуск в отделение 0000-000124 от 01.04.2024 11:13:36;;;;;;8 320,000;;200,000;8 120,000
Отпуск в отделение 0000-000128 от 02.04.2024 15:55:36;;;;;;8 120,000;;200,000;7 920,000
Отпуск в отделение 0000-000136 от 08.04.2024 10:40:04;;;;;;7 920,000;;100,000;7 820,000
Отпуск в отделение 0000-000140 от 09.04.2024 11:08:04;;;;;;7 820,000;;100,000;7 720,000
Отпуск в отделение 0000-000150 от 12.04.2024 9:48:40;;;;;;7 720,000;;100,000;7 620,000
Отпуск в отделение 0000-000153 от 15.04.2024 9:19:31;;;;;;7 620,000;;500,000;7 120,000
Отпуск в отделение 0000-000159 от 17.04.2024 9:05:57;;;;;;7 120,000;;200,000;6 920,000
Отпуск в отделение 0000-000161 от 17.04.2024 10:12:19;;;;;;6 920,000;;100,000;6 820,000
Отпуск в отделение 0000-000163 от 19.04.2024 9:15:21;;;;;;6 820,000;;200,000;6 620,000
Отпуск в отделение 0000-000165 от 22.04.2024 10:49:17;;;;;;6 620,000;;150,000;6 470,000
Отпуск в отделение 0000-000175 от 26.04.2024 10:21:39;;;;;;6 470,000;;100,000;6 370,000
Отпуск в отделение 0000-000179 от 03.05.2024 9:39:57;;;;;;6 370,000;;50,000;6 320,000
Отпуск в отделение 0000-000181 от 03.05.2024 13:17:20;;;;;;6 320,000;;200,000;6 120,000
Отпуск в отделение 0000-000183 от 06.05.2024 9:17:42;;;;;;6 120,000;;500,000;5 620,000
Отпуск в отделение 0000-000184 от 06.05.2024 10:38:18;;;;;;5 620,000;;200,000;5 420,000
Отпуск в отделение 0000-000188 от 06.05.2024 11:41:10;;;;;;5 420,000;;250,000;5 170,000
Отпуск в отделение 0000-000190 от 07.05.2024 11:06:49;;;;;;5 170,000;;300,000;4 870,000
Отпуск в отделение 0000-000192 от 08.05.2024 10:45:30;;;;;;4 870,000;;100,000;4 770,000
Отпуск в отделение 0000-000197 от 15.05.2024 11:42:38;;;;;;4 770,000;;200,000;4 570,000
Отпуск в отделение 0000-000202 от 20.05.2024 9:36:32;;;;;;4 570,000;;400,000;4 170,000
Отпуск в отделение 0000-000204 от 20.05.2024 13:23:39;;;;;;4 170,000;;200,000;3 970,000
Отпуск в отделение 0000-000211 от 21.05.2024 13:31:09;;;;;;3 970,000;;300,000;3 670,000
Отпуск в отделение 0000-000214 от 23.05.2024 13:10:14;;;;;;3 670,000;;250,000;3 420,000
Отпуск в отделение 0000-000217 от 24.05.2024 10:03:37;;;;;;3 420,000;;200,000;3 220,000
Отпуск в отделение 0000-000227 от 03.06.2024 9:38:13;;;;;;3 220,000;;300,000;2 920,000
Отпуск в отделение 0000-000231 от 03.06.2024 13:15:43;;;;;;2 920,000;;200,000;2 720,000
Отпуск в отделение 0000-000233 от 04.06.2024 14:07:33;;;;;;2 720,000;;150,000;2 570,000
Отпуск в отделение 0000-000237 от 10.06.2024 9:49:51;;;;;;2 570,000;;100,000;2 470,000
Отпуск в отделение 0000-000242 от 10.06.2024 11:05:29;;;;;;2 470,000;;200,000;2 270,000
Отпуск в отделение 0000-000243 от 14.06.2024 11:14:03;;;;;;2 270,000;;200,000;2 070,000
Отпуск в отделение 0000-000245 от 18.06.2024 10:51:43;;;;;;2 070,000;;500,000;1 570,000
Отпуск в отделение 0000-000257 от 21.06.2024 10:04:02;;;;;;1 570,000;;100,000;1 470,000
Отпуск в отделение 0000-000259 от 24.06.2024 11:19:16;;;;;;1 470,000;;150,000;1 320,000
Отпуск в отделение 0000-000265 от 27.06.2024 10:15:05;;;;;;1 320,000;;200,000;1 120,000
Отпуск в отделение 0000-000267 от 01.07.2024 9:04:14;;;;;;1 120,000;;300,000;820,000
Отпуск в отделение 0000-000275 от 05.07.2024 10:53:58;;;;;;820,000;;200,000;620,000
Отпуск в отделение 0000-000279 от 08.07.2024 10:11:33;;;;;;620,000;;200,000;420,000
Отпуск в отделение 0000-000281 от 10.07.2024 10:13:12;;;;;;420,000;;200,000;220,000
Отпуск в отделение 0000-000283 от 12.07.2024 10:53:59;;;;;;220,000;;100,000;120,000
Отпуск в отделение 0000-000293 от 17.07.2024 9:59:13;;;;;;120,000;;120,000;
Кеторолак, р-р для в/в и в/м введ. 30 мг/мл, амп. 2 мл, кор. 10 06.24;;;;;амп. 2 мл;;10 000,000;10 000,000;
20124 до 31.01.26, <партии не учитываются>;;;;;;;4 600,000;4 600,000;
Поступление товаров 0000-000043 от 04.06.2024 10:49:49;;;;;;;4 600,000;;4 600,000
Отпуск в отделение 0000-000382 от 19.09.2024 8:21:45;;;;;;4 600,000;;30,000;4 570,000
Отпуск в отделение 0000-000388 от 23.09.2024 11:04:17;;;;;;4 570,000;;200,000;4 370,000
Отпуск в отделение 0000-000392 от 27.09.2024 10:45:06;;;;;;4 370,000;;400,000;3 970,000
Отпуск в отделение 0000-000400 от 04.10.2024 10:35:07;;;;;;3 970,000;;100,000;3 870,000
Отпуск в отделение 0000-000402 от 08.10.2024 9:37:04;;;;;;3 870,000;;500,000;3 370,000
Отпуск в отделение 0000-000407 от 10.10.2024 10:54:04;;;;;;3 370,000;;300,000;3 070,000
Отпуск в отделение 0000-000413 от 14.10.2024 11:10:06;;;;;;3 070,000;;150,000;2 920,000
Отпуск в отделение 0000-000415 от 16.10.2024 10:47:19;;;;;;2 920,000;;100,000;2 820,000
Отпуск в отделение 0000-000417 от 18.10.2024 11:13:47;;;;;;2 820,000;;100,000;2 720,000
Отпуск в отделение 0000-000420 от 21.10.2024 10:57:24;;;;;;2 720,000;;200,000;2 520,000
Отпуск в отделение 0000-000424 от 23.10.2024 10:24:22;;;;;;2 520,000;;200,000;2 320,000
Отпуск в отделение 0000-000426 от 23.10.2024 10:47:42;;;;;;2 320,000;;100,000;2 220,000
Отпуск в отделение 0000-000433 от 28.10.2024 10:31:12;;;;;;2 220,000;;250,000;1 970,000
Отпуск в отделение 0000-000436 от 01.11.2024 13:39:05;;;;;;1 970,000;;200,000;1 770,000
Отпуск в отделение 0000-000440 от 05.11.2024 9:29:38;;;;;;1 770,000;;200,000;1 570,000
Отпуск в отделение 0000-000444 от 06.11.2024 8:43:10;;;;;;1 570,000;;300,000;1 270,000
Отпуск в отделение 0000-000452 от 11.11.2024 10:25:38;;;;;;1 270,000;;50,000;1 220,000
Отпуск в отделение 0000-000454 от 11.11.2024 10:54:33;;;;;;1 220,000;;100,000;1 120,000
Отпуск в отделение 0000-000456 от 13.11.2024 10:55:45;;;;;;1 120,000;;200,000;920,000
Отпуск в отделение 0000-000460 от 18.11.2024 10:02:14;;;;;;920,000;;100,000;820,000
Отпуск в отделение 0000-000462 от 18.11.2024 10:23:59;;;;;;820,000;;200,000;620,000
Отпуск в отделение 0000-000465 от 20.11.2024 9:29:48;;;;;;620,000;;250,000;370,000
Отпуск в отделение 0000-000471 от 22.11.2024 10:29:58;;;;;;370,000;;200,000;170,000
Отпуск в отделение 0000-000473 от 25.11.2024 9:50:22;;;;;;170,000;;150,000;20,000
Отпуск в отделение 0000-000479 от 28.11.2024 10:45:08;;;;;;20,000;;10,000;10,000
Отпуск в отделение 0000-000480 от 28.11.2024 11:40:57;;;;;;10,000;;10,000;
30124 до 31.01.26, <партии не учитываются>;;;;;;;5 400,000;5 400,000;
Поступление товаров 0000-000043 от 04.06.2024 10:49:49;;;;;;;5 400,000;;5 400,000
Отпуск в отделение 0000-000288 от 15.07.2024 10:19:45;;;;;;5 400,000;;300,000;5 100,000
Отпуск в отделение 0000-000293 от 17.07.2024 9:59:13;;;;;;5 100,000;;280,000;4 820,000
Отпуск в отделение 0000-000302 от 22.07.2024 13:07:35;;;;;;4 820,000;;200,000;4 620,000
Отпуск в отделение 0000-000303 от 22.07.2024 13:50:37;;;;;;4 620,000;;200,000;4 420,000
Отпуск в отделение 0000-000306 от 26.07.2024 9:58:17;;;;;;4 420,000;;200,000;4 220,000
Отпуск в отделение 0000-000314 от 02.08.2024 14:51:50;;;;;;4 220,000;;200,000;4 020,000
Отпуск в отделение 0000-000316 от 05.08.2024 11:01:37;;;;;;4 020,000;;500,000;3 520,000
Отпуск в отделение 0000-000321 от 07.08.2024 11:08:47;;;;;;3 520,000;;200,000;3 320,000
Отпуск в отделение 0000-000326 от 09.08.2024 11:03:19;;;;;;3 320,000;;200,000;3 120,000
Отпуск в отделение 0000-000328 от 12.08.2024 11:39:14;;;;;;3 120,000;;250,000;2 870,000
Отпуск в отделение 0000-000340 от 19.08.2024 9:06:52;;;;;;2 870,000;;300,000;2 570,000
Отпуск в отделение 0000-000344 от 19.08.2024 10:12:36;;;;;;2 570,000;;200,000;2 370,000
Отпуск в отделение 0000-000346 от 22.08.2024 11:21:57;;;;;;2 370,000;;300,000;2 070,000
Отпуск в отделение 0000-000349 от 23.08.2024 11:12:30;;;;;;2 070,000;;100,000;1 970,000
Отпуск в отделение 0000-000354 от 26.08.2024 10:26:30;;;;;;1 970,000;;100,000;1 870,000
Отпуск в отделение 0000-000356 от 28.08.2024 10:51:39;;;;;;1 870,000;;400,000;1 470,000
Отпуск в отделение 0000-000360 от 02.09.2024 9:34:07;;;;;;1 470,000;;400,000;1 070,000
Отпуск в отделение 0000-000365 от 05.09.2024 13:17:07;;;;;;1 070,000;;250,000;820,000
Отпуск в отделение 0000-000370 от 09.09.2024 10:15:29;;;;;;820,000;;200,000;620,000
Отпуск в отделение 0000-000372 от 11.09.2024 10:22:00;;;;;;620,000;;100,000;520,000
Отпуск в отделение 0000-000377 от 16.09.2024 10:13:06;;;;;;520,000;;200,000;320,000
Отпуск в отделение 0000-000380 от 18.09.2024 9:46:46;;;;;;320,000;;200,000;120,000
Отпуск в отделение 0000-000382 от 19.09.2024 8:21:45;;;;;;120,000;;120,000;
Кеторолак, р-р для в/в и в/м введ. 30 мг/мл, амп. 2 мл, пач. картон. 10;;;;;амп. 2 мл;210,00;18 000,000;3 690,000;14 520,000
020523 до 31.05.25, <партии не учитываются>;;;;;;210,000;;210,000;
Отпуск в отделение 0000-000005 от 09.01.2024 11:47:30;;;;;;210,000;;150,000;60,000
Отпуск в отделение 0000-000010 от 12.01.2024 13:33:24;;;;;;60,000;;60,000;
020824 до 31.08.26, <партии не учитываются>;;;;;;;18 000,000;3 480,000;14 520,000
Поступление товаров 0000-000096 от 14.11.2024 14:23:29;;;;;;;18 000,000;;18 000,000
Отпуск в отделение 0000-000479 от 28.11.2024 10:45:08;;;;;;18 000,000;;30,000;17 970,000
Отпуск в отделение 0000-000483 от 02.12.2024 9:12:54;;;;;;17 970,000;;300,000;17 670,000
Отпуск в отделение 0000-000487 от 03.12.2024 11:22:36;;;;;;17 670,000;;100,000;17 570,000
Отпуск в отделение 0000-000492 от 04.12.2024 15:36:06;;;;;;17 570,000;;200,000;17 370,000
Отпуск в отделение 0000-000495 от 06.12.2024 11:07:16;;;;;;17 370,000;;100,000;17 270,000
Отпуск в отделение 0000-000499 от 09.12.2024 10:48:28;;;;;;17 270,000;;100,000;17 170,000
Отпуск в отделение 0000-000502 от 10.12.2024 11:09:59;;;;;;17 170,000;;100,000;17 070,000
Отпуск в отделение 0000-000505 от 13.12.2024 9:22:52;;;;;;17 070,000;;100,000;16 970,000
Отпуск в отделение 0000-000507 от 13.12.2024 13:28:27;;;;;;16 970,000;;300,000;16 670,000
Отпуск в отделение 0000-000510 от 17.12.2024 14:03:59;;;;;;16 670,000;;100,000;16 570,000
Отпуск в отделение 0000-000511 от 17.12.2024 14:38:17;;;;;;16 570,000;;350,000;16 220,000
Отпуск в отделение 0000-000516 от 20.12.2024 11:23:13;;;;;;16 220,000;;100,000;16 120,000
Отпуск в отделение 0000-000518 от 23.12.2024 13:51:58;;;;;;16 120,000;;200,000;15 920,000
Отпуск в отделение 0000-000520 от 24.12.2024 10:56:12;;;;;;15 920,000;;100,000;15 820,000
Отпуск в отделение 0000-000521 от 24.12.2024 13:18:00;;;;;;15 820,000;;600,000;15 220,000
Отпуск в отделение 0000-000522 от 24.12.2024 15:26:22;;;;;;15 220,000;;200,000;15 020,000
Отпуск в отделение 0000-000531 от 27.12.2024 13:33:59;;;;;;15 020,000;;500,000;14 520,000
Клопидогрел, табл. п.п.о. 75 мг, бан. 28, пач. картон. 1  Озон;;;;;шт;;5 348,000;5 348,000;
010224 до 31.01.26, <партии не учитываются>;;;;;;;1 652,000;1 652,000;
Поступление товаров 0000-000024 от 12.04.2024 14:30:19;;;;;;;1 652,000;;1 652,000
Отпуск в отделение 0000-000153 от 15.04.2024 9:19:31;;;;;;1 652,000;;140,000;1 512,000
Отпуск в отделение 0000-000157 от 15.04.2024 10:38:21;;;;;;1 512,000;;280,000;1 232,000
Отпуск в отделение 0000-000161 от 17.04.2024 10:12:19;;;;;;1 232,000;;140,000;1 092,000
Отпуск в отделение 0000-000183 от 06.05.2024 9:17:42;;;;;;1 092,000;;140,000;952,000
Отпуск в отделение 0000-000190 от 07.05.2024 11:06:49;;;;;;952,000;;140,000;812,000
Отпуск в отделение 0000-000202 от 20.05.2024 9:36:32;;;;;;812,000;;140,000;672,000
Отпуск в отделение 0000-000214 от 23.05.2024 13:10:14;;;;;;672,000;;280,000;392,000
Отпуск в отделение 0000-000235 от 07.06.2024 14:26:49;;;;;;392,000;;140,000;252,000
Отпуск в отделение 0000-000249 от 19.06.2024 10:24:16;;;;;;252,000;;252,000;
020324 до 28.02.26, <партии не учитываются>;;;;;;;3 696,000;3 696,000;
Поступление товаров 0000-000024 от 12.04.2024 14:30:19;;;;;;;3 696,000;;3 696,000
Отпуск в отделение 0000-000249 от 19.06.2024 10:24:16;;;;;;3 696,000;;28,000;3 668,000
Отпуск в отделение 0000-000251 от 20.06.2024 9:03:18;;;;;;3 668,000;;140,000;3 528,000
Отпуск в отделение 0000-000259 от 24.06.2024 11:19:16;;;;;;3 528,000;;140,000;3 388,000
Отпуск в отделение 0000-000267 от 01.07.2024 9:04:14;;;;;;3 388,000;;140,000;3 248,000
Отпуск в отделение 0000-000294 от 17.07.2024 10:55:10;;;;;;3 248,000;;196,000;3 052,000
Отпуск в отделение 0000-000306 от 26.07.2024 9:58:17;;;;;;3 052,000;;280,000;2 772,000
Отпуск в отделение 0000-000316 от 05.08.2024 11:01:37;;;;;;2 772,000;;140,000;2 632,000
Отпуск в отделение 0000-000321 от 07.08.2024 11:08:47;;;;;;2 632,000;;112,000;2 520,000
Отпуск в отделение 0000-000346 от 22.08.2024 11:21:57;;;;;;2 520,000;;140,000;2 380,000
Отпуск в отделение 0000-000360 от 02.09.2024 9:34:07;;;;;;2 380,000;;140,000;2 240,000
Отпуск в отделение 0000-000380 от 18.09.2024 9:46:46;;;;;;2 240,000;;280,000;1 960,000
Отпуск в отделение 0000-000382 от 19.09.2024 8:21:45;;;;;;1 960,000;;140,000;1 820,000
Отпуск в отделение 0000-000402 от 08.10.2024 9:37:04;;;;;;1 820,000;;140,000;1 680,000
Отпуск в отделение 0000-000407 от 10.10.2024 10:54:04;;;;;;1 680,000;;280,000;1 400,000
Отпуск в отделение 0000-000433 от 28.10.2024 10:31:12;;;;;;1 400,000;;280,000;1 120,000
Отпуск в отделение 0000-000440 от 05.11.2024 9:29:38;;;;;;1 120,000;;112,000;1 008,000
Отпуск в отделение 0000-000444 от 06.11.2024 8:43:10;;;;;;1 008,000;;140,000;868,000
Отпуск в отделение 0000-000448 от 08.11.2024 11:03:12;;;;;;868,000;;140,000;728,000
Отпуск в отделение 0000-000467 от 20.11.2024 10:53:40;;;;;;728,000;;280,000;448,000
Отпуск в отделение 0000-000483 от 02.12.2024 9:12:54;;;;;;448,000;;112,000;336,000
Отпуск в отделение 0000-000495 от 06.12.2024 11:07:16;;;;;;336,000;;140,000;196,000
Отпуск в отделение 0000-000523 от 25.12.2024 10:47:34;;;;;;196,000;;140,000;56,000
